FMT,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
GPS, 16898197, 0, 3, 221164599, 2252, 18, 0.64, 52.5259678, 13.3143359, 65.13, 0.02617251, 83.41805, -0.081, 0, 1
GPS, 17098163, 0, 3, 221164799, 2252, 18, 0.64, 52.5259676, 13.3143358, 65.11, 0.03905125, 219.8056, -0.003, 0, 1
GPS, 17298274, 0, 3, 221164999, 2252, 18, 0.64, 52.5259674, 13.3143357, 65.09, 0.005656855, 225, -0.029, 0, 1
GPS, 17498165, 0, 3, 221165199, 2252, 18, 0.64, 52.5259673, 13.3143357, 65.07, 0.02886174, 194.0363, -0.022, 0, 1
GPS, 17698176, 0, 3, 221165399, 2252, 18, 0.64, 52.5259672, 13.3143356, 65.05, 0.01414214, 351.8699, 0.021, 0, 1
GPS, 17898220, 0, 3, 221165599, 2252, 18, 0.64, 52.5259671, 13.3143356, 65.04, 0.009219545, 40.60129, -0.027, 0, 1
GPS, 18098141, 0, 3, 221165799, 2252, 18, 0.64, 52.5259669, 13.3143355, 65.01, 0.02385372, 236.9761, -0.046, 0, 1
GPS, 18318198, 0, 3, 221165999, 2252, 18, 0.64, 52.5259668, 13.3143354, 64.99, 0.01104536, 275.1944, -0.09900001, 0, 1
GPS, 18498187, 0, 3, 221166199, 2252, 18, 0.64, 52.5259667, 13.3143353, 64.97, 0.03649658, 279.4623, 0.021, 0, 1
GPS, 18698271, 0, 3, 221166399, 2252, 18, 0.64, 52.5259666, 13.3143353, 64.95, 0.03328663, 32.73522, -0.052, 0, 1
GPS, 18898130, 0, 3, 221166599, 2252, 18, 0.64, 52.5259664, 13.3143353, 64.94, 0.0358469, 247.0113, -0.027, 0, 1
GPS, 19098136, 0, 3, 221166799, 2252, 18, 0.64, 52.5259662, 13.3143352, 64.91, 0.02630589, 98.74615, -0.06500001, 0, 1
GPS, 19298156, 0, 3, 221166999, 2252, 18, 0.64, 52.5259661, 13.3143353, 64.88, 0.02247221, 57.72435, -0.019, 0, 1
GPS, 19498150, 0, 3, 221167199, 2252, 18, 0.64, 52.525966, 13.3143353, 64.86, 0.009219545, 40.60129, 0.028, 0, 1
GPS, 19698262, 0, 3, 221167399, 2252, 18, 0.64, 52.5259659, 13.3143353, 64.84, 0.01720465, 324.4623, -0.032, 0, 1
GPS, 19898162, 0, 3, 221167599, 2252, 18, 0.64, 52.5259657, 13.3143352, 64.82, 0.04318565, 227.8156, 0.003, 0, 1
GPS, 20077958, 0, 3, 221167799, 2252, 18, 0.64, 52.5259656, 13.3143352, 64.8, 0.02376973, 194.6209, -0.017, 0, 1
GPS, 20298164, 0, 3, 221167999, 2252, 18, 0.64, 52.5259655, 13.3143352, 64.77, 0.02459675, 333.4349, -0.104, 0, 1
GPS, 20498167, 0, 3, 221168199, 2252, 18, 0.64, 52.5259654, 13.3143352, 64.77, 0.01749286, 30.96376, -0.043, 0, 1
GPS, 20698155, 0, 3, 221168399, 2252, 18, 0.64, 52.5259654, 13.3143352, 64.75, 0.03014963, 5.710592, -0.029, 0, 1
GPS, 20898161, 0, 3, 221168599, 2252, 18, 0.64, 52.5259652, 13.3143351, 64.7, 0.03634557, 262.0928, 0.012, 0, 1
GPS, 21098139, 0, 3, 221168799, 2252, 18, 0.64, 52.5259651, 13.3143351, 64.67, 0.02080865, 125.2176, -0.02, 0, 1
GPS, 21298204, 0, 3, 221168999, 2252, 18, 0.64, 52.525965, 13.314335, 64.64, 0.02915476, 329.0363, 0.018, 0, 1
GPS, 21498253, 0, 3, 221169199, 2252, 18, 0.64, 52.5259648, 13.314335, 64.59, 0.0190263, 356.9872, -0.005, 0, 1
GPS, 21698252, 0, 3, 221169399, 2252, 18, 0.64, 52.5259647, 13.3143349, 64.54, 0.02202272, 230.5275, -0.011, 0, 1
GPS, 21898173, 0, 3, 221169599, 2252, 18, 0.64, 52.5259645, 13.3143349, 64.5, 0.03006659, 183.8141, 0.057, 0, 1
GPS, 22098135, 0, 3, 221169799, 2252, 18, 0.64, 52.5259643, 13.3143349, 64.45, 0.01264911, 198.435, -0.042, 0, 1
GPS, 22298171, 0, 3, 221169999, 2252, 18, 0.64, 52.5259641, 13.3143348, 64.39, 0.02954657, 246.0375, 0.001, 0, 1
GPS, 22498133, 0, 3, 221170199, 2252, 18, 0.64, 52.5259639, 13.3143348, 64.36, 0.005385165, 68.19859, 0.058, 0, 1
GPS, 22698172, 0, 3, 221170399, 2252, 18, 0.64, 52.5259637, 13.3143348, 64.3, 0.01640122, 232.4314, -0.017, 0, 1
GPS, 22898162, 0, 3, 221170599, 2252, 18, 0.64, 52.5259635, 13.3143348, 64.28, 0.04951768, 136.6366, 0.05, 0, 1
GPS, 23098191, 0, 3, 221170799, 2252, 18, 0.64, 52.5259633, 13.3143348, 64.22, 0.08417244, 316.4441, -0.162, 0, 1
GPS, 23298269, 0, 3, 221170999, 2252, 18, 0.64, 52.5259631, 13.3143347, 64.18, 0.03182766, 226.273, -0.042, 0, 1
GPS, 23498177, 0, 3, 221171199, 2252, 18, 0.64, 52.5259628, 13.3143346, 64.15, 0.01697056, 225, -0.035, 0, 1
GPS, 23698192, 0, 3, 221171399, 2252, 18, 0.64, 52.5259626, 13.3143347, 64.11, 0.03992493, 22.0679, -0.007, 0, 1
GPS, 23898165, 0, 3, 221171599, 2252, 18, 0.64, 52.5259624, 13.3143348, 64.08, 0.011, 90, -0.008, 0, 1
GPS, 24098129, 0, 3, 221171799, 2252, 18, 0.64, 52.5259622, 13.3143349, 64.04, 0.04707441, 192.2648, -0.054, 0, 1
GPS, 24318232, 0, 3, 221171999, 2252, 18, 0.64, 52.5259619, 13.314335, 64.01, 0.0254951, 101.3099, -0.035, 0, 1
GPS, 24518232, 0, 3, 221172199, 2252, 18, 0.64, 52.5259617, 13.3143351, 63.99, 0.02545585, 45, 0.018, 0, 1
GPS, 24698166, 0, 3, 221172399, 2252, 18, 0.64, 52.5259615, 13.3143351, 63.96, 0.007, 90, -0.14, 0, 1
GPS, 24898220, 0, 3, 221172599, 2252, 18, 0.64, 52.5259613, 13.3143352, 63.95, 0.02624881, 130.3645, -0.059, 0, 1
GPS, 25098270, 0, 3, 221172799, 2252, 18, 0.64, 52.5259611, 13.3143353, 63.94, 0.008602326, 305.5377, -0.029, 0, 1
GPS, 25298119, 0, 3, 221172999, 2252, 18, 0.64, 52.525961, 13.3143354, 63.93, 0.032, 0, -0.024, 0, 1
GPS, 25498173, 0, 3, 221173199, 2252, 18, 0.64, 52.5259609, 13.3143354, 63.92, 0.01780449, 308.1572, -0.087, 0, 1
GPS, 25698184, 0, 3, 221173399, 2252, 18, 0.64, 52.5259608, 13.3143355, 63.92, 0.01118034, 280.3049, -0.046, 0, 1
GPS, 25898215, 0, 3, 221173599, 2252, 18, 0.64, 52.5259607, 13.3143357, 63.94, 0.01392839, 111.0375, 0.022, 0, 1
GPS, 26098170, 0, 3, 221173799, 2252, 18, 0.64, 52.5259606, 13.3143358, 63.93, 0.01341641, 296.5651, 0.031, 0, 1
GPS, 26298128, 0, 3, 221173999, 2252, 18, 0.64, 52.5259606, 13.3143358, 63.9, 0.05830952, 5.906141, -0.07300001, 0, 1
